pressure,temperature,vibration,volume_flow,Motor_power,cooler_condition
160.67,35.62,0.58,6.71,2538.93,3
160.6,36.68,0.57,6.72,2531.5,3
160.35,37.88,0.58,6.72,2519.93,3
160.19,38.88,0.57,6.72,2511.54,3
160.0,39.8,0.58,6.69,2503.45,3
159.92,40.66,0.57,6.7,2501.01,3
159.67,41.46,0.57,6.7,2494.42,3
159.61,42.22,0.57,6.68,2489.42,3
159.48,42.89,0.57,6.67,2484.42,3
159.44,43.53,0.57,6.66,2480.43,3
159.32,44.11,0.57,6.66,2478.79,3
159.24,44.64,0.58,6.66,2472.27,3
159.14,45.16,0.58,6.66,2467.23,3
159.09,45.63,0.59,6.67,2465.31,3
158.99,46.06,0.58,6.67,2461.77,3
158.86,46.46,0.58,6.65,2459.51,3
158.82,46.84,0.58,6.65,2458.17,3
158.79,47.15,0.59,6.64,2455.59,3
158.65,47.47,0.6,6.66,2452.3,3
158.6,47.75,0.6,6.65,2448.33,3
158.62,48.03,0.62,6.64,2444.72,3
158.57,48.27,0.63,6.64,2441.78,3
158.53,48.5,0.62,6.64,2438.77,3
158.51,48.71,0.63,6.63,2437.65,3
158.44,48.92,0.63,6.63,2437.13,3
158.34,49.11,0.64,6.65,2434.61,3
158.27,49.32,0.64,6.63,2432.51,3
158.25,49.5,0.63,6.65,2432.65,3
158.09,49.66,0.64,6.64,2428.35,3
157.95,49.82,0.63,6.64,2425.84,3
157.96,49.93,0.64,6.63,2425.47,3
157.9,50.03,0.63,6.62,2424.28,3
157.97,50.17,0.63,6.64,2424.37,3
157.88,50.28,0.64,6.63,2423.38,3
157.83,50.39,0.65,6.64,2421.67,3
157.8,50.5,0.64,6.63,2421.09,3
157.77,50.6,0.64,6.62,2421.49,3
157.76,50.67,0.64,6.63,2422.78,3
157.83,50.72,0.65,6.64,2424.24,3
157.74,50.81,0.63,6.63,2420.98,3
157.79,50.91,0.63,6.62,2424.34,3
157.69,50.98,0.63,6.62,2421.64,3
157.66,51.07,0.63,6.62,2421.67,3
157.63,51.12,0.64,6.62,2420.58,3
157.59,51.19,0.64,6.63,2418.86,3
157.58,51.22,0.64,6.62,2419.73,3
157.58,51.29,0.66,6.64,2422.49,3
157.56,51.35,0.63,6.64,2417.85,3
157.56,51.39,0.63,6.63,2417.66,3
