pressure,temperature,vibration,volume_flow,Motor_power,hydraulic_accumulator
160.67,35.62,0.58,6.71,2538.93,130
160.6,36.68,0.57,6.72,2531.5,130
160.35,37.88,0.58,6.72,2519.93,130
160.19,38.88,0.57,6.72,2511.54,130
160.0,39.8,0.58,6.69,2503.45,130
159.92,40.66,0.57,6.7,2501.01,130
159.67,41.46,0.57,6.7,2494.42,130
159.61,42.22,0.57,6.68,2489.42,130
159.48,42.89,0.57,6.67,2484.42,130
159.44,43.53,0.57,6.66,2480.43,130
159.32,44.11,0.57,6.66,2478.79,130
159.24,44.64,0.58,6.66,2472.27,130
159.14,45.16,0.58,6.66,2467.23,130
159.09,45.63,0.59,6.67,2465.31,130
158.99,46.06,0.58,6.67,2461.77,130
158.86,46.46,0.58,6.65,2459.51,130
158.82,46.84,0.58,6.65,2458.17,130
158.79,47.15,0.59,6.64,2455.59,130
158.65,47.47,0.6,6.66,2452.3,130
158.6,47.75,0.6,6.65,2448.33,130
158.62,48.03,0.62,6.64,2444.72,130
158.57,48.27,0.63,6.64,2441.78,130
158.53,48.5,0.62,6.64,2438.77,130
158.51,48.71,0.63,6.63,2437.65,130
158.44,48.92,0.63,6.63,2437.13,130
158.34,49.11,0.64,6.65,2434.61,130
158.27,49.32,0.64,6.63,2432.51,130
158.25,49.5,0.63,6.65,2432.65,130
158.09,49.66,0.64,6.64,2428.35,130
157.95,49.82,0.63,6.64,2425.84,130
157.96,49.93,0.64,6.63,2425.47,130
157.9,50.03,0.63,6.62,2424.28,130
157.97,50.17,0.63,6.64,2424.37,130
157.88,50.28,0.64,6.63,2423.38,130
157.83,50.39,0.65,6.64,2421.67,130
157.8,50.5,0.64,6.63,2421.09,130
157.77,50.6,0.64,6.62,2421.49,130
157.76,50.67,0.64,6.63,2422.78,130
157.83,50.72,0.65,6.64,2424.24,130
157.74,50.81,0.63,6.63,2420.98,130
157.79,50.91,0.63,6.62,2424.34,130
157.69,50.98,0.63,6.62,2421.64,130
157.66,51.07,0.63,6.62,2421.67,130
157.63,51.12,0.64,6.62,2420.58,130
157.59,51.19,0.64,6.63,2418.86,130
157.58,51.22,0.64,6.62,2419.73,130
157.58,51.29,0.66,6.64,2422.49,130
157.56,51.35,0.63,6.64,2417.85,130
157.56,51.39,0.63,6.63,2417.66,130
157.57,51.47,0.63,6.62,2417.01,130
157.61,51.52,0.64,6.62,2417.64,130
157.55,51.57,0.66,6.62,2415.61,130
157.53,51.61,0.63,6.62,2416.26,130
157.53,51.66,0.63,6.62,2416.15,130
157.63,51.7,0.65,6.63,2416.87,130
157.54,51.74,0.64,6.63,2415.16,130
157.51,51.76,0.64,6.64,2413.12,130
157.52,51.79,0.64,6.62,2412.4,130
157.48,51.85,0.64,6.64,2411.0,130
157.5,51.88,0.64,6.64,2412.43,130
157.47,51.91,0.63,6.63,2411.98,130
157.45,51.93,0.64,6.62,2411.35,130
157.47,51.92,0.63,6.63,2411.76,130
157.44,51.98,0.64,6.62,2409.76,130
157.45,52.0,0.64,6.63,2409.63,130
157.45,52.01,0.64,6.63,2409.81,130
157.44,52.03,0.64,6.64,2410.09,130
157.41,52.06,0.64,6.63,2410.55,130
157.43,52.1,0.64,6.64,2410.03,130
157.41,52.16,0.64,6.62,2408.91,130
157.4,52.16,0.65,6.62,2408.17,130
157.4,52.21,0.65,6.62,2406.79,130
157.34,52.3,0.65,6.62,2409.19,130
157.33,52.38,0.64,6.62,2409.42,130
157.36,52.41,0.64,6.64,2409.18,130
157.33,52.42,0.65,6.62,2409.44,130
157.32,52.53,0.65,6.64,2409.31,130
157.31,52.6,0.64,6.61,2406.85,130
157.29,52.64,0.64,6.62,2407.14,130
157.26,52.7,0.65,6.63,2406.75,130
157.25,52.68,0.65,6.62,2406.83,130
157.24,52.77,0.65,6.6,2406.64,130
157.26,52.8,0.65,6.61,2406.55,130
157.23,52.83,0.64,6.61,2407.51,130
157.22,52.83,0.65,6.6,2407.38,130
157.24,52.89,0.66,6.61,2407.51,130
157.23,52.9,0.64,6.61,2407.11,130
157.24,52.91,0.64,6.61,2409.44,130
157.23,52.94,0.64,6.62,2406.65,130
157.21,52.98,0.65,6.61,2409.02,130
